
2024/10/31 (15:11:47) | ===> btop++ v.1.4.0
2024/10/31 (15:11:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (00:50:18) | ===> btop++ v.1.4.0
2024/11/01 (00:50:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (00:53:43) | ===> btop++ v.1.4.0
2024/11/01 (00:53:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (03:39:45) | ===> btop++ v.1.4.0
2024/11/01 (03:39:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (17:01:45) | ===> btop++ v.1.4.0
2024/11/01 (17:01:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (17:31:42) | ===> btop++ v.1.4.0
2024/11/01 (17:31:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (14:01:58) | ===> btop++ v.1.4.0
2024/11/02 (14:01:58) | WARNING: Intel GPU: Failed to initialize PMU
